task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
65,pc_top,split_002,lolo,P(Cy)3,0,2,42,2688,384,42,0.636334540114673,17.85421417263235,14.422289429505666,0.6298832466012313,4.511406867723991,30.671070963144302,0.09326113861386136,0.10528614662100302,0.7994791666666666,41.37464598435499,0.9661458333333334,78.61311801949422,1.0,120.22838891007012,16,18.502793044783175,fixed_epoch_budget_no_plateau_test
66,pc_top,split_003,lolo,P(Ph)3,0,3,42,2688,384,42,0.4640483864788142,24.321687166580148,20.472877630591395,0.6675914614908892,4.685218891426991,32.90154546499252,0.12876547029702973,0.17094706859719913,0.6197916666666666,44.38351036349567,0.9244791666666666,84.33005419899602,1.0,128.971688294185,16,18.657406743615866,fixed_epoch_budget_no_plateau_test
67,pc_top,split_004,lolo,P(o-Tol)3,0,4,42,2688,384,42,0.42343851360752405,20.85166271967897,17.03582347273827,0.594822488537149,4.6053474295613555,32.494994093974434,0.16818997524752477,0.22379391170187518,0.6927083333333334,43.835080898135935,0.9479166666666666,83.28802110699094,1.0,127.37803620406329,16,18.351008833386004,fixed_epoch_budget_no_plateau_test
68,pc_top,split_005,lolo,P(tBu)3,0,5,42,2688,384,42,0.1586400512449757,26.514990374485013,24.043450571298596,0.6671925274170512,4.779729486259334,36.47077138225237,0.10042285478547854,-0.0014936769864179716,0.4375,49.19832295814762,0.9973958333333334,93.47834832308949,1.0,142.96279679521749,16,18.37061100732535,fixed_epoch_budget_no_plateau_test
69,pc_top,split_006,lolo,SPhos,0,6,42,2688,384,42,0.5463558630496823,18.79699438600171,16.468010850747426,0.6805200467012725,4.579848054329491,33.11043720444044,0.08867264851485146,0.15017220032023565,0.78125,44.66530103781216,0.9869791666666666,84.86546527043365,1.0,129.79052886615665,16,18.631186849437654,fixed_epoch_budget_no_plateau_test
70,pc_top,split_007,lolo,XPhos,0,7,42,2688,384,42,0.10634325468181627,25.53812346096748,22.4820632481575,0.7653934845184216,4.754831874605114,36.05463950832685,0.03739892739273928,-0.02843883179543964,0.5,48.636969590762305,1.0,92.41175941408494,1.0,141.33158982379112,16,18.71478934213519,fixed_epoch_budget_no_plateau_test
71,pc_top,split_008,iid_matched,,0,0,42,2688,384,42,0.8911728502036557,10.044811577919033,7.372510962883632,0.7753780918486974,4.044550805689205,20.132359991470974,0.1157869224422442,0.0012707266623715708,0.8515625,27.158140923009693,0.9791666666666666,51.601314930354214,0.9973958333333334,78.91740101415643,16,25.322760950773954,fixed_epoch_budget_no_plateau_test
72,pc_top,split_009,iid_matched,,0,1,42,2688,384,42,0.9015908539514362,9.263052555145457,7.123904423515003,0.7709527638248173,4.025826337661915,20.119433974226315,0.11858085808580854,0.0007642162015530162,0.8489583333333334,27.140703990724933,0.9895833333333334,51.568184215081914,1.0,78.8667319576303,16,19.391841146163642,fixed_epoch_budget_no_plateau_test
73,pc_top,split_010,iid_matched,,0,2,42,2688,384,42,0.9001482901189852,9.594957356137899,7.145538297096889,0.7725993136410363,4.036453393742214,20.207932357986767,0.1186829620462046,0.029110788037028247,0.8567708333333334,27.26008649623562,0.9791666666666666,51.79501469959465,1.0,79.21363924735128,16,19.245532294735312,fixed_epoch_budget_no_plateau_test
74,pc_top,split_011,iid_matched,,0,3,42,2688,384,42,0.8774756403191701,10.47803263553661,7.838701442281405,0.7514653700853564,4.052170759368362,19.97406681875388,0.10663366336633663,0.03565431167847355,0.8203125,26.944606677962295,0.9765625,51.19559320373298,0.9947916666666666,78.29690317910827,16,19.23626176919788,fixed_epoch_budget_no_plateau_test
